career_family,postings,entry_level_postings,median_salary_sar,median_experience_years,total_vacancies,entry_level_share_pct
Other,467,399,4408.0,0.0,1938,85.4
Sales & Marketing,276,261,4000.0,0.0,858,94.6
Administration & Support,209,188,4000.0,0.0,565,90.0
Technology,156,130,5000.0,2.0,288,83.3
Engineering,103,69,7000.0,2.0,142,67.0
Healthcare,70,66,6000.0,0.0,166,94.3
Human Resources,57,45,5000.0,2.0,74,78.9
Data & Analytics,41,37,4000.0,0.0,82,90.2
Legal & Compliance,29,22,5000.0,2.0,40,75.9
Education,28,21,4000.0,0.0,63,75.0
Operations & Supply Chain,26,24,5000.0,1.0,94,92.3
Finance & Accounting,8,7,5500.0,1.0,10,87.5
