career_family,family_postings,family_entry_share,family_median_salary,family_cities,FGOI_v0_1,rank,market_opportunity_score
Administration & Support,209,0.8995215311004785,4000.0,38,63.2,4.0,63.2
Data & Analytics,41,0.9024390243902439,4000.0,17,49.1,7.0,49.1
Education,28,0.75,4000.0,5,17.7,11.0,17.7
Engineering,103,0.6699029126213593,7000.0,19,45.9,8.0,45.9
Finance & Accounting,8,0.875,5500.0,4,,,8.333333333333332
Healthcare,70,0.9428571428571428,6000.0,24,79.1,2.0,79.1
Human Resources,57,0.7894736842105263,5000.0,12,41.4,9.0,41.4
Legal & Compliance,29,0.7586206896551724,5000.0,8,30.0,10.0,30.0
Operations & Supply Chain,26,0.9230769230769231,5000.0,10,61.4,5.0,61.4
Other,467,0.854389721627409,4408.0,60,70.9,3.0,70.9
Sales & Marketing,276,0.9456521739130435,4000.0,38,80.5,1.0,80.5
Technology,156,0.8333333333333334,5000.0,35,60.9,6.0,60.9
