city_standard,entry_level_postings,entry_level_vacancies,median_salary_sar,unique_employers,unique_titles
الرياض,443,1329,4500.0,285,156
جدة,217,682,4000.0,147,94
الدمام,68,117,4410.0,55,37
مكة المكرمة,64,279,4000.0,37,38
الخبر,52,100,4000.0,31,35
المدينة المنورة,46,69,4000.0,34,41
ABA ASLAB...,44,139,4750.0,28,32
الباحة,20,35,4500.0,11,15
الخرج,15,76,4500.0,8,8
خميس مشيط,14,16,4000.0,10,8
حائل,12,73,4000.0,12,11
الطائف,12,64,4000.0,10,11
الجبيل,11,102,4500.0,10,9
بريدة,11,93,4000.0,10,10
ابها,10,41,5100.0,4,9
الظهران,10,25,4500.0,8,8
الهفوف,10,19,4000.0,6,7
UNAYZAH...,9,14,4000.0,6,5
AL MUBARR...,9,12,4400.0,7,7
ABRAQIYAH...,8,25,5312.5,8,8
MALHAM...,8,21,4000.0,2,8
القطيف,7,10,5700.0,5,7
نجران,6,56,5000.0,4,6
YANBU...,6,16,4000.0,3,4
ABA AL BA...,6,8,3600.0,5,5
GHITHAH...,5,57,4000.0,5,5
القنفذة,5,19,4000.0,4,5
AL MUKHWA...,5,10,8000.0,1,4
ABRAQ AN ...,5,7,4000.0,5,4
YANBU AL ...,4,10,5000.0,2,2
QILWAH...,4,8,8000.0,1,4
AL AQIQ...,4,6,4000.0,4,3
ATH THUQB...,4,6,5500.0,3,4
حفر الباطن,4,6,4000.0,3,3
TANUMAH...,3,8,4500.0,2,1
NUMARAH...,3,6,8000.0,1,3
سكاكا,3,6,5000.0,1,1
ABA AL QI...,3,5,7500.0,3,3
AL HAWIYA...,3,4,4000.0,2,3
AL BADAI'...,3,3,4000.0,3,1
AL HALQAH...,3,3,4000.0,2,2
BILJURASH...,3,3,4000.0,3,3
ينبع,3,3,400.0,2,3
AL ULA...,2,23,2005.0,2,2
AL HAIR...,2,8,7000.0,2,2
JIZAN...,2,6,1835.0,2,2
ABA AL KI...,2,5,5000.0,2,2
AL 'AMMAR...,2,4,4000.0,1,2
AL UYUN...,2,4,400.0,1,1
MUHAYIL...,2,4,3000.0,1,1
SABYA...,2,4,3800.0,2,2
UMM TALHA...,2,3,4500.0,1,2
WADI AD D...,2,3,5000.0,2,2
تبوك,2,3,4500.0,2,2
ABU MARAG...,2,2,4082.0,1,1
AL 'AZIZI...,2,2,4750.0,2,2
AL 'UFAYR...,2,2,4000.0,1,1
AL BUKAYR...,2,2,5100.0,2,2
AL HAZM...,2,2,3500.0,1,1
AL MAHALA...,2,2,1000.0,1,1
AL MUZAHI...,2,2,6750.0,1,2
BAYDAH...,2,2,4500.0,1,2
HAWTAT BA...,2,2,4000.0,1,1
SAYHAT...,2,2,4000.0,2,2
AL QUZ...,1,30,4000.0,1,1
AS SAFFAN...,1,20,5066.0,1,1
ABA AR RA...,1,5,10000.0,1,1
AL BATALI...,1,5,4000.0,1,1
HAFIRAT N...,1,5,4500.0,1,1
AL BIDI'A...,1,4,4500.0,1,1
AN NAQ'A...,1,4,4000.0,1,1
ABU TARFA...,1,3,4000.0,1,1
AL BIYAD...,1,2,4000.0,1,1
AL WATAH...,1,2,7000.0,1,1
ATH THUMA...,1,2,4000.0,1,1
BANI SAR...,1,2,4000.0,1,1
ABAR AL M...,1,1,4000.0,1,1
ABU AS SA...,1,1,4500.0,1,1
ABU KABIR...,1,1,4500.0,1,1
AD DALFA'...,1,1,4000.0,1,1
AFIF...,1,1,5000.0,1,1
AHAD RIFA...,1,1,5500.0,1,1
AL 'AQUL...,1,1,6000.0,1,1
AL 'AYDAB...,1,1,3200.0,1,1
AL ATAWLA...,1,1,4500.0,1,1
AL HAFAIR...,1,1,6000.0,1,1
AL HIFAH...,1,1,4001.0,1,1
AL JURF...,1,1,4000.0,1,1
AL KHAFJI...,1,1,4000.0,1,1
AL QALT...,1,1,4000.0,1,1
AL QARI...,1,1,4000.0,1,1
AL QURAYY...,1,1,5000.0,1,1
AL SHUQAY...,1,1,4200.0,1,1
AN NADHIM...,1,1,8000.0,1,1
AR RASS...,1,1,4000.0,1,1
AR'AR...,1,1,6000.0,1,1
AS SAFRA...,1,1,4000.0,1,1
BISHAH...,1,1,6000.0,1,1
BUQAYQ...,1,1,4000.0,1,1
HAQL...,1,1,4000.0,1,1
JU'RANAH...,1,1,4000.0,1,1
RAHIMAH...,1,1,5000.0,1,1
RUMAH...,1,1,4000.0,1,1
SHIBRIQAH...,1,1,4000.0,1,1
TUBARJAL...,1,1,4000.0,1,1
TURAIF...,1,1,0.0,1,1
