career_family,postings,vacancies,entry_postings,zero_exp_postings,median_salary_sar,unique_cities,unique_employers,entry_share,zero_exp_share,entry_access_score,demand_score,salary_score,geographic_score,employer_diversity_score,FGOI_v0_1,rank,mean_rank_sensitivity,rank_sd_sensitivity,top3_probability,top5_probability
Sales & Marketing,276,858,261,181,4000.0,38,228,0.9456521739130435,0.6557971014492754,100.0,90.91,22.73,86.36,90.91,80.5,1,1.37,0.49,1.0,1.0
Healthcare,70,166,66,47,6000.0,24,49,0.9428571428571428,0.6714285714285714,90.91,63.64,90.91,63.64,45.45,79.1,2,1.69,0.57,1.0,1.0
Other,467,1938,399,265,4408.0,60,311,0.854389721627409,0.5674518201284796,54.55,100.0,45.45,100.0,100.0,70.9,3,2.98,0.31,0.96,1.0
Administration & Support,209,565,188,131,4000.0,38,182,0.8995215311004785,0.6267942583732058,63.64,81.82,22.73,86.36,81.82,63.2,4,4.59,0.75,0.0,0.85
Operations & Supply Chain,26,94,24,13,5000.0,10,23,0.9230769230769231,0.5,81.82,45.45,68.18,27.27,18.18,61.4,5,5.06,0.93,0.04,0.587
Technology,156,288,130,74,5000.0,35,130,0.8333333333333334,0.47435897435897434,45.45,72.73,68.18,72.73,72.73,60.9,6,5.32,0.68,0.0,0.563
Data & Analytics,41,82,37,25,4000.0,17,31,0.9024390243902439,0.6097560975609756,72.73,36.36,22.73,45.45,36.36,49.1,7,7.36,0.55,0.0,0.0
Engineering,103,142,69,40,7000.0,19,64,0.6699029126213593,0.3883495145631068,9.09,54.55,100.0,54.55,63.64,45.9,8,7.76,0.62,0.0,0.001
Human Resources,57,74,45,25,5000.0,12,54,0.7894736842105263,0.43859649122807015,36.36,27.27,68.18,36.36,54.55,41.4,9,8.88,0.33,0.0,0.0
Legal & Compliance,29,40,22,12,5000.0,8,25,0.7586206896551724,0.41379310344827586,27.27,9.09,68.18,18.18,27.27,30.0,10,10.0,0.0,0.0,0.0
Education,28,63,21,16,4000.0,5,16,0.75,0.5714285714285714,18.18,18.18,22.73,9.09,9.09,17.7,11,11.0,0.0,0.0,0.0
