sector,organization,job_title,job_description,city,vacancies,posting_date_hijri,posting_day_hijri,posting_month_hijri,posting_year_hijri,source_dataset
القطاع شبه الحكومي,هيئة المحتوى المحلي والمشتريات الحكومية,مدير مالي,المشاركة في تطوير الأهداف الرئيسية للإدارة المالية، والإشراف المباشر على أنشطة إدارة وتخطيط وتنظيم الأعمال المحاسبية والمالية ومتابعة تنفيذ العمليات المختلفة والإشراف على الموظفين وتوجيههم إلى اتباع الأنظمة والقواعد المحاسبية والمالية ومراجعة أعمالهم، ومتابعة كافة العمليات الإدارية المعتمدة، وضمان توافر كافة الموارد التقنية والبشرية التي تضمن سير العمليات اليومية بأكب,الرياض,1,08/05/1447,8,5,1447,jadarat_recent
القطاع شبه الحكومي,هيئة المدن والمناطق الاقتصادية الخاصة,مدير مراجعة,تنفيذ مهام وأنشطة المراجعة الداخلية المخططة وفقًا لمعايير المراجعة ومتطلبات الجهات الرقابية، لضمان سلامة الإجراءات المالية والإدارية، والتحقق من فاعلية أنظمة الرقابة الداخلية، والمساهمة في تحسين الأداء التشغيلي والامتثال بالأنظمة والسياسات.,الرياض,1,08/05/1447,8,5,1447,jadarat_recent
القطاع شبه الحكومي,هيئة المدن والمناطق الاقتصادية الخاصة,محاسب,الإشراف على العمليات المحاسبية اليومية وضمان دقة السجلات المالية، وإعداد التقارير الدورية وفق المعايير المحاسبية المعتمدة، والمساهمة في تحسين كفاءة الأنظمة المالية ودعم القرارات الإدارية.,الرياض,1,07/05/1447,7,5,1447,jadarat_recent
القطاع شبه الحكومي,بنك التصدير والاستيراد السعودي,أخصائي تواصل داخلي,العمل على أنشطة إدارة التواصل المؤسسي من خلال توجيه الأعمال الخاصة بالعلاقات العامة والإعلامية والتواصال الرقمي في البنك، بالإضافة إلى إدارة جميع الفعاليات المؤسسية وتطوير الاستراتيجية الإعلامية وتعزيز العلاقات العامة لضمان بناء وتطوير والمحافظة على علاقات البنك وسمعته على الصعيد المحلي والدولي وفقاً للأهداف والاستراتيجيات المحدّدة.,الرياض,1,07/05/1447,7,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني لنظم الموارد الحكومية,مدير إداري,دعم ومتابعة تنفيذ الأنشطة الدورية المتمثلة بالعمل مع كافة ملّاك ورواد المخاطر وأصحاب المصلحة في جميع قطاعات إدارات المركز لتحديد وتحليل وتقييم المخاطر المرتبطة بالأطراف الخارجية والاستراتيجية وتحديد خيارات معالجتها ومراقبة فعالية تنفيذها وإعداد التقارير ذات الصلة. والمساهمة في عملية مراجعة وتحديث سياسات وإجراءات عمل إدارة المخاطر ومنهجيات الرصد والإبلاغ. ودعم جميع الإ,الرياض,1,07/05/1447,7,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني لنظم الموارد الحكومية,أخصائي علوم بيانات,"تطوير ومراجعة السياسات والمعايير المتعلقة بالبيانات الوصفية لضمان توافقها مع متطلبات الأعمال والإدارة، وتنفيذ عمليات التحقق والفهرسة
والتوثيق والتأكد من مواءمتها مع النظم والسياسات المعتمدة، بالإضافة إلى التنسيق بين مختلف أصحاب العلاقة لضمان التكامل وجودة البيانات
عبر دورة حياتها وضمان تطبيق أفضل الممارسات في أتمتة البيانات الوصفية وتحقيق الكفاءة التشغيلية .",الرياض,1,07/05/1447,7,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني لتنمية الحياة الفطرية,أخصائي استشارات أعمال,يبحث المركز الوطني لتنمية الحياة الفطرية عن خبير في التعامل مع المفترسات (اخصائي استشارات اعمال) يعمل على المساهمة في البحث عن أفضل الإجراءات الوقائية وتطبيقها، مع تقديم الدعم الطبي للمحميات القريبة وجمع السجلات الصحية للكائنات لضمان تحسين الحالة الصحية والتعافي من الإصابات. يحمل مؤهل علمي في تخصص الطب البيطري بخبرة عملية تزيد عن 15 سنة. لديه مهارات قوية في الكتابة ال,الطائف,1,07/05/1447,7,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني لتنمية الحياة الفطرية,أخصائي قانوني,يبحث المركز الوطني لتنمية الحياة الفطرية أخصائي مكافحة جرائم الحياة الفطرية يعمل على دراسة وتحليل القضايا ومخالفات الحياة الفطرية، وإعداد التقارير والمرئيات القانونية، وضمان توافق الإجراءات مع الأنظمة والاتفاقيات ذات الصلة، إضافة إلى اقتراح الحلول والتوصيات التي تسهم في تطوير العمل ودعم تحقيق أهداف القسم.,الرياض,1,07/05/1447,7,5,1447,jadarat_recent
القطاع شبه الحكومي,هيئة تقويم التعليم والتدريب,اخصائي ذكاء اصطناعي,ضمان تقديم الدعم لأعمال الهيئة وتسهيلها من خلال توفير خدمات وحلول الذكاء الاصطناعي,الرياض,1,07/05/1447,7,5,1447,jadarat_recent
القطاع شبه الحكومي,مجلس شؤون الأسرة,مدير عام,يتولى مسؤولية الاشراف على إدارة رأس المال البشري، إدارة الشؤون المالية، العقود والمشتريات، إدارة تقنية المعلومات، إدارة المرافق وإدارة مركز المحفوظات لدعم المجلس في تحقيق أهدافة الاستراتيجية,الرياض,1,06/05/1447,6,5,1447,jadarat_recent
