source_dataset,job_title,job_title_norm,career_family,organization,city_standard,region,sector,economic_activity,organization_size,experience_years,entry_level_flag,salary_sar,vacancies,posting_date_hijri
jadarat_recent,مدير مالي,مدير مالي,Finance & Accounting,هيئة المحتوى المحلي والمشتريات الحكومية,الرياض,,القطاع شبه الحكومي,,,,,,1,08/05/1447
jadarat_recent,مدير مراجعة,مدير مراجعه,Finance & Accounting,هيئة المدن والمناطق الاقتصادية الخاصة,الرياض,,القطاع شبه الحكومي,,,,,,1,08/05/1447
jadarat_recent,محاسب,محاسب,Technology,هيئة المدن والمناطق الاقتصادية الخاصة,الرياض,,القطاع شبه الحكومي,,,,,,1,07/05/1447
jadarat_recent,أخصائي تواصل داخلي,اخصايي تواصل داخلي,Other,بنك التصدير والاستيراد السعودي,الرياض,,القطاع شبه الحكومي,,,,,,1,07/05/1447
jadarat_recent,مدير إداري,مدير اداري,Administration & Support,المركز الوطني لنظم الموارد الحكومية,الرياض,,القطاع شبه الحكومي,,,,,,1,07/05/1447
jadarat_recent,أخصائي علوم بيانات,اخصايي علوم بيانات,Data & Analytics,المركز الوطني لنظم الموارد الحكومية,الرياض,,القطاع شبه الحكومي,,,,,,1,07/05/1447
jadarat_recent,أخصائي استشارات أعمال,اخصايي استشارات اعمال,Other,المركز الوطني لتنمية الحياة الفطرية,الطائف,,القطاع شبه الحكومي,,,,,,1,07/05/1447
jadarat_recent,أخصائي قانوني,اخصايي قانوني,Legal & Compliance,المركز الوطني لتنمية الحياة الفطرية,الرياض,,القطاع شبه الحكومي,,,,,,1,07/05/1447
jadarat_recent,اخصائي ذكاء اصطناعي,اخصايي ذكاء اصطناعي,Other,هيئة تقويم التعليم والتدريب,الرياض,,القطاع شبه الحكومي,,,,,,1,07/05/1447
jadarat_recent,مدير عام,مدير عام,Other,مجلس شؤون الأسرة,الرياض,,القطاع شبه الحكومي,,,,,,1,06/05/1447
jadarat_recent,كيميائي صناعات,كيميايي صناعات,Other,المركز الوطني للتنمية الصناعية,الرياض,,القطاع شبه الحكومي,,,,,,1,06/05/1447
jadarat_recent,كيميائي صناعات,كيميايي صناعات,Other,المركز الوطني للتنمية الصناعية,الرياض,,القطاع شبه الحكومي,,,,,,1,06/05/1447
jadarat_recent,مهندس كهربائي,مهندس كهربايي,Engineering,المركز الوطني للتنمية الصناعية,الرياض,,القطاع شبه الحكومي,,,,,,1,05/05/1447
jadarat_recent,مراجع داخلي,مراجع داخلي,Finance & Accounting,المركز الوطني للتنمية الصناعية,الرياض,,القطاع شبه الحكومي,,,,,,1,05/05/1447
