skill_id,skill_name_en,skill_scope,source_status
DIG-DATAAI-01,"Artificial intelligence, machine learning & deep learning application",Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-02,Data analytics,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-03,Data cleaning,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-04,Data collection and analysis,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-05,Data design,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-06,Data engineering,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-07,Data management,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-08,Data preparation,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-09,Data processing,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-10,Data visualization and storyboarding,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-11,Data warehousing,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-12,Database management & configuration,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-13,Database modelling,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-14,Knowledge of big data tools and platforms,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-15,Machine learning,Digital sector — Data & AI job family,official_family_level
DIG-DATAAI-16,Natural language processing,Digital sector — Data & AI job family,official_family_level
PCS-STAT-01,Big data analysis,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-02,Budget management,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-03,Business continuity strategy and planning,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-04,Business data analysis,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-05,Business environment analysis,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-06,Business innovation and improvement,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-07,Business needs analysis,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-08,Business negotiation,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-09,Business risk assessment and management,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-10,Data analytics and system optimization,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-11,Research data analysis,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-12,Research findings communication,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-13,Strategic research,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
