skill_id,skill_name_en,skill_scope,source_status
PCS-STAT-01,Big data analysis,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-02,Budget management,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-03,Business continuity strategy and planning,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-04,Business data analysis,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-05,Business environment analysis,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-06,Business innovation and improvement,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-07,Business needs analysis,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-08,Business negotiation,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-09,Business risk assessment and management,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-10,Data analytics and system optimization,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-11,Research data analysis,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-12,Research findings communication,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
PCS-STAT-13,Strategic research,Professional & Consulting Services — Statistical Analysis and Interpretation,official_family_level
